Competition Title,Type,Year,Model,Rank,Model Hyperlink,Model Link,Metrics,Metrics Link,Public Score,Private Score,Remark,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,stat + lgbm + lstm,1,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47582,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47582,Normalized Weighted RMSLE,,,0.509,https://www.kaggle.com/shixw125/1st-place-lgb-model-public-0-506-private-0-511    | https://www.kaggle.com/shixw125/1st-place-nn-model-public-0-507-private-0-513,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,cnn + lstm + gru,2,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47568,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47568,Normalized Weighted RMSLE,,,0.512,,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,cnn + lstm + gru,3,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47560,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47560,Normalized Weighted RMSLE,,,0.513,,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,dilated cnn + bi-lstm,4,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47529,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47529,Normalized Weighted RMSLE,,,0.513,,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,lgbm + cnn/mlp + seq2seq,5,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47556,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47556,Normalized Weighted RMSLE,,,0.513,https://github.com/LenzDu/Kaggle-Competition-Favorita,
Corporaci?n Favorita Grocery Sales Forecasting,Time Series,Jan-18,lgbm,6,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47575,https://www.kaggle.com/c/favorita-grocery-sales-forecasting/discussion/47575,Normalized Weighted RMSLE,,,0.514,,
Recruit Restaurant Visitor Forecasting,Time Series,Feb-18,lgbm,1,https://www.kaggle.com/pureheart/1st-place-lgb-model-public-0-470-private-0-502/comments,https://www.kaggle.com/pureheart/1st-place-lgb-model-public-0-470-private-0-502/comments,RMSLE,https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting#evaluation,0.47,0.502,"1st Place LGB Model(public:0.470, private:0.502)",
Recruit Restaurant Visitor Forecasting,Time Series,Feb-18,xgboost + lgb + nn,1,https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting/discussion/49129,https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting/discussion/49129,RMSLE,,,0.501,,
Recruit Restaurant Visitor Forecasting,Time Series,Feb-18,lgbm + xgboost,7,https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting/discussion/49259,https://www.kaggle.com/c/recruit-restaurant-visitor-forecasting/discussion/49259,RMSLE,,,0.507,"Private  up 549 rank, from 556 --> 7",
Recruit Restaurant Visitor Forecasting,Time Series,Feb-18,lgbm,8,https://github.com/MaxHalford/kaggle-recruit-restaurant/blob/master/Solution.ipynb,https://github.com/MaxHalford/kaggle-recruit-restaurant/blob/master/Solution.ipynb,RMSLE,,,0.512,,
Web Traffic Time Series Forecasting,Time Series,Nov-17,seq2seq,1,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43795,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43795,SMAPE,https://en.wikipedia.org/wiki/Symmetric_mean_absolute_percentage_error,,35.48065,,
Web Traffic Time Series Forecasting,Time Series,Nov-17,linear regression + xgboost + MLP,2,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/39395,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/39395,SMAPE,https://en.wikipedia.org/wiki/Symmetric_mean_absolute_percentage_error,,36.78499,,
Web Traffic Time Series Forecasting,Time Series,Nov-17,knn,3,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/39876,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/39876,SMAPE,https://en.wikipedia.org/wiki/Symmetric_mean_absolute_percentage_error,,36.85302,,
Web Traffic Time Series Forecasting,Time Series,Nov-17,simple stat + autoregression,5,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43603,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43603,SMAPE,https://en.wikipedia.org/wiki/Symmetric_mean_absolute_percentage_error,,37.13244,,
Web Traffic Time Series Forecasting,Time Series,Nov-17,lgbm,7,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43621,https://www.kaggle.com/c/web-traffic-time-series-forecasting/discussion/43621,SMAPE,https://en.wikipedia.org/wiki/Symmetric_mean_absolute_percentage_error,,37.57471,,
M4 Competition,Time Series,Jan-18,es-rnn,1,,,,,,,,
M4 Competition,Time Series,Jan-18,,2,,,,,,,,
M4 Competition,Time Series,Jan-18,,3,,,,,,,,
M4 Competition,Time Series,Jan-18,,4,,,,,,,,
M4 Competition,Time Series,Jan-18,,5,,,,,,,,
